,NL1,NL1t,RE1t,NL2,RE1,LEVEN_Norm,SBERT_Norm,BLEU_Norm,DEP_Norm,Consistence,Relation,REG_Norm,DFA_Norm,HYB_Norm,LEVEN,DEP,SBERT,BLEU,REG,DFA,HYB,Translation_Label_Consistent
50,lines with a lower-case letter and a vowel before a letter,A line with lowercase letters and a phonetic tone in front of a letter,( ( [ <LET> ] ) + & ( <M0> ) ) . * ( [ <LET> ] ) . *,字母前带有小写字母和元音的行,( ( [ <LOW> ] ) & ( [ <VOW> ] ) ) . * ( [ <LET> ] ) . *,0.556920799,0.718184991,0.425579173,0.142857143,TRUE,no intersection,0.785714286,0,0.35483871,0.628571429,3,0.9082797,0.514459759,0.823529412,0,0.411764706,bug
51,lines consisting of the string <M0>,A line made <M0> up of strings,. * ( [ <NUM> ] ) . * ( [ <NUM> ] ) . * . *,由字符串<M0> 组成的行,. * <M0> . *,0.07061436,0.636225828,0.254191719,0.238095238,TRUE,intersection,0.132653061,0,0.059907834,0.342857143,5,0.883840719,0.415728002,0.285714286,0,0.142857143,bug
52,"lines not having the string <M0> , the string <M1> , or a character","A line that <M0> does not have a <M1> string, character, or character",. * ( <M0> ) . * ~ ( ( <M1> ) & ( . ) & ( . ) ) . *,没有字符<M0> 串、字符<M1> 或字符的行,~ ( ( <M0> ) | ( <M1> ) | ( . ) ),0.177742735,0.862313215,0.58043411,0.428571429,TRUE,intersection,0.313664596,0,0.141654979,0.405797101,9,0.951256554,0.603667572,0.434782609,0,0.217391304,bug
53,"lines arranged with vowels or the string <M0> , up to 7 times in total",Lines arranged with phonetic or chords <M0> up to 7 times in total,"( ( <M1> ) | ( <M0> ) ) { , 7 }",用元音或弦排列的线<M0> 条，总共多达7次,"( ( [ <VOW> ] ) + | ( <M0> ) ) { , 7 }",0.775758697,0.890847437,0.736265244,0.380952381,TRUE,intersection,0.779220779,0.00179856,0.352892465,0.757142857,8,0.959765027,0.693437747,0.818181818,0.00179856,0.409990189,bug
54,"lines having either a lower-case letter , a vowel , or a capital letter before a character","A line has a lowercase letter, a yuan tone, or a character before a capital letter",( ( [ <LOW> ] ) | ( <M0> ) | ( . ) ) . * ( [ <CAP> ] ) . *,行有一个小写字母，元音，或大写字母之前的字符,( ( [ <LOW> ] ) | ( [ <VOW> ] ) | ( [ <CAP> ] ) ) . * ( . ) . *,0.394818653,0.807600728,0.755240726,0.333333333,TRUE,intersection,0.817857143,0.26681,0.51567,0.533333333,7,0.934942119,0.704369017,0.85,0.26681,0.558405,bug
55,the line begins with a character in front of a vowel at least once,The line starts with a character at least once before the phonetic,( . ) + . * ( <M0> ) . *,行开始与一个字符在元音前至少一次,( ( . ) ( . * ) ) . * ( ( [ <VOW> ] ) + ) . *,0.389660857,0.582643168,0.651317921,0.19047619,TRUE,superset,0.360902256,9.77E-06,0.162993474,0.53030303,4,0.867863181,0.644501852,0.473684211,9.77E-06,0.236846991,bug
56,lines arranged with a word that has the string <M0> followed by a character,"Lines are arranged with one word, one <M0> character, and then one character",( ( \ b . * \ b ) & ( <M0> ) ) & ( . ) ),行排列有一个单词，有字符<M0> ，然后一个字符,\ b <M0> . * . . * \ b,0.270895828,0.096350906,0.48356058,1,TRUE,no intersection,0,0,0,0.460526316,21,0.722858193,0.547861306,0.176470588,0,0.088235294,bug
57,"strings not having a letter , not the string <M0> , instead of a vowel","Strings have no letters, no <M0> strings, not phonetics",\ b ( [ <NUM> ] ) + . * ( ~ ( [ <NUM> ] ) ) . * \ b,字符串没有字母，没有字符串<M0> ，而不是元音,~ ( ( [ <LET> ] ) & ( <M0> ) & ( [ <VOW> ] ) ),0.289452258,0.513682822,0.309193354,0.380952381,TRUE,superset,0.089285714,0,0.040322581,0.471428571,8,0.847300251,0.447412981,0.25,0,0.125,bug
58,"lines with a vowel , 5 or greater times in front of a lower-case letter","Lines with metatytes, 5 or more times before lowercase letters","( ( <M0> ) { 5 , } ) . * ( [ <LOW> ] ) + . *",带有元音的线条，在小写字母前 5 次或 5 次以上,"( ( [ <VOW> ] ) { 5 , } ) . * ( [ <LOW> ] ) . *",0.493906444,0.470261561,0.425724649,0.380952381,TRUE,subset,0.826530612,0,0.373271889,0.591549296,8,0.834352688,0.514543564,0.857142857,0,0.428571429,bug
59,rows with words that don't have a vowel at least once,"OK, no unant at least once",~ ( ( <M0> ) + ),行的话，没有元音至少一次,\ b ~ ( ( [ <VOW> ] ) + ) \ b,0.129338156,0,0,0.428571429,TRUE,superset,0.595238095,0,0.268817204,0.377358491,9,0.694127812,0.269294908,0.666666667,0,0.333333333,bug
60,lines not having a lower-case letter and not a number,"The line does not have a lowercase letter, not a number",~ ( ( [ <LOW> ] ) & ( [ <NUM> ] ) ),行没有一个小写字母，而不是一个数字,~ ( ( [ <LOW> ] ) & ( [ <NUM> ] ) ),0.693970796,0.851165616,0.775803318,0.380952381,TRUE,equivalence,1,1,1,0.709090909,8,0.947932509,0.71621458,1,1,1,correct
61,"lines with digits , 5 or more times","Rows with numbers, 5 or more times","( [ <LET> ] + ) { 5 , }",带数字的行，5次或更多次,"( [ <NUM> ] ) { 5 , }",0.654182087,0.886861329,0.648484121,0,TRUE,no intersection,0.514285714,0,0.232258065,0.685714286,0,0.95857643,0.642869375,0.6,0,0.3,correct
62,lines arranged with words that have the string <M0> then the string <M1> at least once,"The line arranges the word with the <M0> string, and then the <M1> string at least once",\ b ( ( <M0> ) & ( . * <M1> . * ) ) + \ b,行安排有字符串的单词<M0> ，然后字符串<M1> 至少一次,( \ b <M0> . * <M1> . * \ b ) +,0.504377345,0.866160979,0.850965591,0.666666667,TRUE,no intersection,0.46875,0,0.211693548,0.597701149,14,0.952403899,0.759513568,0.5625,0,0.28125,correct
63,"lines with a character followed by a vowel , 2 or more times","Lines and characters, followed by metans, 2 or more times","( . . * ( <M0> ) . * ) { 2 , }",行与字符，其次是元音，2次或更多次,"( . . * [ <VOW> ] . * ) { 2 , }",0.706865285,0.453702473,0.71421397,0.333333333,TRUE,intersection,0.668831169,9.77E-06,0.302058144,0.716666667,7,0.829415019,0.680734594,0.727272727,9.77E-06,0.363641249,bug
64,lines starting with a capital letter or a lower-case letter before a number,The number of lines that begin with capital or lowercase letters,( ( [ <CAP> ] ) | ( [ <LOW> ] ) + ),以大写字母或小写字母开始的行数,( ( [ <CAP> ] ) ( . * ) ) | ( ( [ <LOW> ] ) . * ( [ <NUM> ] ) . * ),0.054404145,0.74661789,0.533623981,0.476190476,TRUE,intersection,0.282467532,0.0099,0.132995015,0.333333333,10,0.91675796,0.576701501,0.409090909,0.0099,0.209495455,bug
65,the line starts with a vowel or containing the string <M0>,The line begins with a unant or <M0> contains a string,( ( ( <M1> ) . * ) | ( ( <M0> ) . * ) ),行以元音或包含字符串<M0> 开头,( ( [ <VOW> ] ) ( . * ) ) | ( . * <M0> . * ),0.396775058,0.35000987,0.539410108,0.380952381,TRUE,subset,0.428571429,2.48E-05,0.193561984,0.534482759,8,0.798495455,0.580034735,0.529411765,2.48E-05,0.26471828,bug
66,"lines having a vowel , characters , and a lower-case letter before the string <M0>","The line has a phonetic, character, and a lowercase letter string <M0> before",. * ( ( <M0> ) & ( . ) & ( [ <LOW> ] ) ) . *,行有一个元音，字符，和一个小写字母字符串<M0> 前,( ( [ <VOW> ] ) & ( . ) + & ( [ <LOW> ] ) ) . * ( <M0> ) . *,0.441867812,0.81363952,0.717947052,0.380952381,TRUE,no intersection,0.479591837,1,0.764976959,0.56097561,8,0.936742795,0.682885123,0.571428571,1,0.785714286,bug
67,rows not having a capitalized letter at least once,Lines are not capital letters at least once,~ ( ( ( [ <LET> ] ) + + ) ),行没有大写字母至少一次,~ ( ( [ <CAP> ] ) + ),0.542331606,0.582833614,0.587863881,0.333333333,TRUE,error re!,0.514285714,0,0.232258065,0.62,7,0.86791997,0.607947665,0.6,0,0.3,bug
68,"lines having either the string <M0> , a letter , or a number before a character","A line with a <M0> character, letter, or number before a character",( ( <M0> ) | ( [ <LET> ] ) | ( [ <NUM> ] ) ) . * ( . ) . *,字符前有字符<M0> 、字母或数字的行,( ( <M0> ) | ( [ <LET> ] ) | ( [ <NUM> ] ) ) . * ( . ) . *,0.478126845,0.940847316,0.545044373,0.285714286,FALSE,superset,1,1,1,0.582278481,6,0.974674234,0.583280485,1,1,1,
69,"lines not made up of only a numeric character , 0 or more times","Lines are not just made up of a numeric character, 0 or more times",~ ( ( [ <NUM> ] ) * ),行不只由一个数字字符，0或更多倍,~ ( ( [ <NUM> ] ) * ),0.776495525,0.634283405,0.919414737,0.142857143,TRUE,no intersection,1,1,1,0.757575758,3,0.883261518,0.798945302,1,1,1,correct
70,lines with the string <M0> before the string <M1> and not a lower-case letter,"A line with a string in <M0> front of <M1> it, not a lowercase letter",( ( <M0> ) . * ( [ <M1> ] ) . * ) & ( ~ ( [ <LOW> ] ) ),字符串前带有字符串<M0> 的行<M1> ，而不是小写字母,( ( <M0> ) . * ( <M1> ) . * ) & ( ~ ( [ <LOW> ] ) ),0.614393379,0.92106576,0.551267327,0.380952381,TRUE,no intersection,0.884353741,0,0.399385561,0.662337662,8,0.968775673,0.586865364,0.904761905,0,0.452380952,bug
71,"lines not having the string <M0> , the string <M1> , or a vowel","A line that <M0> does not have a <M1> string, string, or phonetic",. * ( [ <VOW> ] ) | ( [ <LET> ] ) \ b,没有字符串<M0> 、字符串<M1> 或元音的行,~ ( ( <M0> ) | ( <M1> ) | ( [ <VOW> ] ) ),0.063132722,0.804097634,0.569520261,0.428571429,TRUE,intersection,0.219387755,0.01443,0.106991567,0.338461538,9,0.93389755,0.597380394,0.357142857,0.01443,0.185786429,bug
72,"strings with words that don't have numbers , 0 or greater times","String with no number of words, 0 or more times",~ ( ( . * [ <NUM> ] . * ) * ),字符串与没有数字的单词，0或更多倍,( \ b ~ ( [ <NUM> ] ) + \ b ) *,0.297557365,0.196908583,0.350683111,0.476190476,TRUE,intersection,0.116883117,1.53E-05,0.052794293,0.476190476,10,0.75284297,0.471314128,0.272727273,1.53E-05,0.136371267,correct
73,lines not containing only a lowercase letter and not the string <M0>,"The line does not contain only one lowercase letter, not <M0> a string",~ ( [ <LOW> ] | <M0> ) . *,行不包含只有一个小写字母，而不是字符串<M0>,~ ( ( [ <LOW> ] ) & ( <M0> ) ),0.483974833,0.804547602,0.781797751,0.380952381,TRUE,no intersection,0.271428571,0,0.122580645,0.585714286,8,0.934031723,0.719667813,0.4,0,0.2,bug
74,"lines with the string <M0> , 6 or more times","Line with <M0> string, 6 or more times","( <M0> ) { 6 , }",行与字符串<M0> ，6次或更多次,"( <M0> ) { 6 , }",0.724917569,1,0.791468809,0.047619048,TRUE,no intersection,1,1,1,0.727272727,1,0.992312668,0.725239053,1,1,1,correct
75,lines starting with the string <M0> in front of a string that is not an uppercase letter,"The line <M0> starts with the string before the string, not a capital letter",( ( <M0> ) ( . * ) ) . * ( ~ ( [ <CAP> ] ) ) . *,行开始<M0> 与字符串前面的字符串，而不是一个大写字母,( ( <M0> ) ( . * ) ) . * ( ~ ( [ <CAP> ] ) ) . *,0.357424635,0.588600599,0.473026043,0.571428571,TRUE,equivalence,1,1,1,0.511363636,12,0.869639597,0.541792639,1,1,1,bug
76,"lines with vowels before an uppercase letter , zero or more times","A line with a phonetic tone before a capital letter, zero or more times",( <M0> ) . * ( ( [ <CAP> ] ) * ) . *,大写字母前带有元音的行，零或更多次,( [ <VOW> ] ) + . * ( ( [ <CAP> ] ) * ) . *,0.589797854,0.761154914,0.548420791,0.142857143,TRUE,no intersection,0.826530612,0,0.373271889,0.647887324,3,0.921092681,0.58522555,0.857142857,0,0.428571429,bug
77,rows not having the string <M0> or a character followed by lettered words,Lines do not have <M0> characters or letter words after characters,. * ( ~ ( <M0> ) ) | ( \ b [ <LET> ] + \ b ) ) . *,行没有字符<M0> 或字符后面的字母单词,( ~ ( <M0> ) ) | ( . . * [ <LET> ] . * ),0,0.730157747,0.405453506,0.285714286,TRUE,superset,0.392857143,0,0.177419355,0.301369863,6,0.911849795,0.502865897,0.5,0,0.25,bug
78,"strings with a number in front of a capital letter or either a lower-case letter , the string <M0> , or the string <M1>","A numeric string before or before a lowercase <M0> letter, string, or string <M1>",( . * [ <NUM> ] . * ) | ( ( <M0> ) | ( <M1> ) ),大写字母前或小写字母、字符串<M0> 或字符串前的数字字符串<M1>,( ( [ <NUM> ] ) . * ( [ <CAP> ] ) . * ) | ( ( [ <LOW> ] ) | ( <M0> ) | ( <M1> ) ),0.259415683,0.735402388,0.30723522,0.571428571,TRUE,intersection,0.532967033,0.253639,0.379787144,0.453781513,12,0.913413668,0.446284953,0.615384615,0.253639,0.434511808,bug
79,"lines having either a letter , the string <M0> , or an upper case letter in front of the string <M1>","The line has a letter, <M0> string, or capital letter <M1> before the string",( ( [ <NUM> ] ) | ( [ <CAP> ] ) ) . * ( <M0> ) . *,行有一个字母，字符串<M0> ，或在字符串<M1> 前面的大写字母,( ( [ <LET> ] ) | ( <M0> ) | ( [ <CAP> ] ) ) . * ( <M1> ) . *,0.321062176,0.865121437,0.403401614,0.428571429,TRUE,intersection,0.635714286,0,0.341935484,0.49,9,0.952093923,0.501683856,0.7,0,0.4,bug
80,"strings containing either the string <M0> , a vowel , or a capital letter","A string <M0> that contains strings, unations, or capital letters",. * ( . * [ <NUM> ] . * ) | ( [ <LET> ] ) + . *,包含字符串<M0> 、元音或大写字母的字符串,. * ( <M0> ) | ( [ <VOW> ] ) | ( [ <CAP> ] ) . *,0.279792746,0.700202057,0.583394826,0.285714286,TRUE,intersection,0.46875,0.419557,0.441773194,0.465753425,6,0.902917462,0.605373162,0.5625,0.419557,0.4910285,bug
81,rows are not words that have starting with an uppercase letter,Lines are not words that begin with capital letters,~ ( \ b ( [ <LET> ] ) + ( . * ) \ b ),行不是以大写字母开头的单词,~ ( \ b ( [ <CAP> ] ) ( . * ) \ b ),0.502799599,0.840089166,0.467555951,0.285714286,TRUE,superset,0.813186813,0,0.367245658,0.596774194,6,0.944629679,0.538641465,0.846153846,0,0.423076923,correct
82,"rows not having a character , not a digit , and not a vowel","Lines do not have a character, no numbers, not metans",~ ( . * ( ( . ) | ( [ <NUM> ] ) | ( <M1> ) ) ),行没有一个字符，没有数字，而不是元音,~ ( ( . ) & ( [ <NUM> ] ) & ( [ <VOW> ] ) ),0.294809871,0.869725023,0.314514576,0.285714286,TRUE,superset,0.527777778,0,0.238351254,0.474576271,6,0.953466643,0.450478396,0.611111111,0,0.305555556,bug
83,lines with the string <M0> before a vowel or a numeric character,<M0> A line of characters before a yuan or numeric character,( <M0> ) ( ( <M1> ) | ( [ <NUM> ] ) ) . *,<M0> 元音或数字字符前字符的字符行,( <M0> ) . * ( ( [ <VOW> ] ) | ( [ <NUM> ] ) ) . *,0.391272668,0.645092044,0.514584277,0.142857143,TRUE,intersection,0.772321429,1,0.897177419,0.53125,3,0.886484491,0.565733233,0.8125,1,0.90625,bug
84,lines with words that have a character or the string <M0> before the string <M1>,A character before a character <M0> or character character <M1>,( ( . ) ( <M0> ) ) | ( ( <M1> ) ),行与字符或<M0> 字符字符之前的字符<M1>,\ b ( . ) | ( ( <M0> ) . * ( <M1> ) . * ) \ b,0.061496114,0.803907664,0.228381342,0.333333333,TRUE,intersection,0.392857143,0,0.177419355,0.3375,7,0.933840904,0.40085933,0.5,0,0.25,bug
85,"lines ending with the string <M0> or a vowel , 4 or more times","A line <M0> ending in a string or phonetic, 4 or more times","( . * ) ( ( . * ) | ( [ <M1> ] ) ) { 4 , }",以字符串<M0> 或元音结尾的行，4次或更多次,"( . * ) ( ( <M0> ) | ( ( [ <VOW> ] ) { 4 , } ) )",0.502799599,0.887059537,0.666136558,0.095238095,TRUE,intersection,0.5,3.94E-06,0.22580861,0.596774194,2,0.958635533,0.653038474,0.588235294,3.94E-06,0.294119615,bug
86,strings preceded by a capitalized letter followed by a letter,"The string is followed by a capital letter, followed by a letter",. * [ <CAP> ] . * [ <LET> ] . * . *,字符串之前有一个大写字母，然后是字母,( [ <CAP> ] . * [ <LET> ] . * ) ( . * ),0.737006153,0.787682063,0.750759985,0.333333333,TRUE,subset,0.494047619,0.669642,0.590341312,0.734375,7,0.929002675,0.701787782,0.583333333,0.669642,0.626487667,correct
87,lines with the string <M0> at least once or containing a capital letter,The line of the <M0> string at least once or contains capital letters,( ( <M0> ) + ) | ( . * [ <CAP> ] . * ),字符串的行<M0> 至少一次或包含大写字母,( ( <M0> ) + ) | ( . * [ <CAP> ] . * ),0.613770707,0.952564033,0.896432092,0.19047619,TRUE,subset,1,1,1,0.661971831,4,0.978167981,0.785705611,1,1,1,correct
88,lines containing a vowel before a lower-case letter,A line that contains a message before a lowercase letter,. * ( <M0> ) . * ( [ <LOW> ] ) . *,小写字母前包含元音的行,( . * [ <VOW> ] . * ) . * ( [ <LOW> ] ) . *,0.642024426,0.342961757,0.617983906,0.380952381,TRUE,intersection,0.653061224,6.28E-06,0.294934318,0.678571429,8,0.796393814,0.625299012,0.714285714,6.28E-06,0.357145995,bug
89,"lines composed of letters then the string <M0> , 7 or more times","A line of letters, followed <M0> by a string, 7 or more times","( . * [ <NUM> ] . * ) { 7 , }",由字母组成的行，然后字符串<M0> ，7次或更多次,". * ( [ <LET> ] . * <M0> . * ) { 7 , } . *",0.284893135,0.969839171,0.627616693,0.476190476,TRUE,intersection,0.43956044,0,0.198511166,0.46875,10,0.983319166,0.630848204,0.538461538,0,0.269230769,bug
90,"lines containing a vowel or lettered words , no more than 6 times",Lines containing unations or letter words no more than 6 times,"( . * ) ( <M0> ) | ( ( [ <LET> ] ) { , 6 } ) ( . * )",包含元音或字母单词的行，不超过 6 次,". * ( ( [ <VOW> ] ) |( [ <LET> ] ) + ) { , 6 } . *",0.874890395,0.892418263,0.845222172,0.285714286,TRUE,superset,0.527777778,1,0.786738351,0.815384615,6,0.960233424,0.756204937,0.611111111,1,0.805555556,bug
91,lines arranged with an uppercase letter then a vowel before a character,"Line in capital letters, and then arrange the phonetics before the characters",( . * ) [ <CAP> ] . * ( <M0> ) . * ( . ) . *,用大写字母排列的线条，然后在字符之前排列元音,( [ <CAP> ] . * [ <VOW> ] . * ) . * ( . ) . *,0.216506292,0.335712955,0.433336623,0.428571429,TRUE,subset,0.642857143,0,0.290322581,0.428571429,9,0.794232332,0.518928619,0.705882353,0,0.352941176,bug
92,rows preceded by a capital letter or vowels and a numeric character,The line is preceded by capital letters or utensies and numeric characters,( ~ ( [ <LET> ] ) + ) | ( ( [ <NUM> ] ) & ( . ) + ),行前面有大写字母或元音和数字字符,( ( [ <CAP> ] ) ( . * ) ) | ( ( [ <VOW> ] ) + & ( [ <NUM> ] ) ),0.660096625,0.803525917,0.720451617,0.19047619,TRUE,intersection,0.392857143,0,0.232258065,0.689189189,4,0.933727072,0.684327936,0.5,0,0.3,bug
93,"lines with a word that has either a character , letters , or the string <M0>","Line with a word that has a character, letter, or <M0> string",( . * ) \ b ( ( . ) | ( [ <LET> ] ) | ( <M0> ) ) \ b ( . * ),行与一个词，有一个字符，字母，或字符串<M0>,\ b ( . ) |( [ <LET> ] ) + | ( <M0> ) \ b,0.718809654,0.952208922,0.714230058,0.285714286,TRUE,superset,0.419254658,0.0415612,0.212132439,0.723684211,6,0.978062093,0.680743862,0.52173913,0.0415612,0.281650165,correct
94,lines ending with the string <M0>,The line that <M0> ends with a string,( <M0> ) ( . * ),以字符串<M0> 结尾的行,( . * ) ( <M0> ),0.039070158,0.833672438,0.502371965,0.285714286,TRUE,subset,0.306122449,0.007874,0.142566848,0.324324324,6,0.942716308,0.558698045,0.428571429,0.007874,0.218222714,bug
95,"lines arranged with a number or a lower-case letter , up to 3 times in total",Rows arranged in numbers or lowercase letters up to 3 times in total,"( ( [ <NUM> ] ) + | ( [ <LET> ] ) + ) { 3 , }",用数字或小写字母排列的行，总共最多 3 次,"( ( [ <NUM> ] ) | ( [ <LOW> ] ) ) { , 3 }",0.853183801,0.88136797,0.772854943,0.238095238,TRUE,intersection,0.595238095,0.0123001,0.27556242,0.802631579,5,0.956938394,0.714516099,0.666666667,0.0123001,0.339483383,correct
96,"lines with a word that has a lower-case letter or an upper case letter , 3 or greater times",Line with a word that has a lowercase or capital letter 3 or more times,"( \ b ( [ <NUM> ] ) | ( [ <LET> ] ) \ b ) { 3 , }",行与一个词，有一个小写字母或大写字母，3次或更多次,"\ b ( ( [ <LOW> ] ) | ( [ <CAP> ] ) ) { 3 , } \ b",0.64670045,0.863485206,0.557840178,0.380952381,TRUE,no intersection,0.392857143,0,0.177419355,0.681318681,8,0.951606024,0.590651809,0.5,0,0.25,correct
97,lines with the string <M0> before a vowel at least one time,<M0> A line with a string at least once before a phonetic tone,"( <M0> ) ( . * ) { 1 , } ( <M1>)",<M0> 在元音前至少一次与字符串的行,( <M0> ) . * ( ( [ <VOW> ] ) + ) . *,0.091007856,0.756112057,0.643724697,0.523809524,TRUE,intersection,0.252747253,0,0.114143921,0.35483871,11,0.919588977,0.640127597,0.384615385,0,0.192307692,bug
98,lines ending with the string <M0> at least once in front of vowels,The line ends with <M0> a string at least once before the phonetic,( . * ) ( <M0> ) . * ( <M1> ),行以字符串结尾<M0> 至少一次在元音前,( ( . * ) ( ( <M0> ) + ) ) . * ( [ <VOW> ] ) + . *,0.312293924,0.571696942,0.587523714,0.380952381,TRUE,intersection,0.453571429,0,0.20483871,0.484848485,8,0.864599183,0.607751705,0.55,0,0.275,bug
99,"lines ending with a character followed by the string <M0> , 4 or greater times","The line ends with a character, <M0> followed by a string of characters, 4 or more times","( ( . * ) ( [ <NUM> ] . * . . * ) ) { 4 , }",行以字符结尾，然后是字符<M0> 串，4次或更多次,"( ( . * ) ( . . * <M0> . * ) ) { 4 , }",0.492816769,0.819081578,0.65016022,0.285714286,TRUE,intersection,0.838095238,1.55E-06,0.378495474,0.590909091,6,0.938365535,0.643834931,0.866666667,1.55E-06,0.433334109,bug