,NL1,NL1t,RE1,RE1t,Translation_Label_Consistent,NL2,Relation,LEVEN_Norm,BLEU_Norm,SBERT_Norm,DEP_Norm,REG_Norm,DFA_Norm,HYB_Norm,Bug_Type_Evaluator1,Bug_Type_Evaluator2,Translation_Label_Consistent.1,Unnamed: 18,Comment
50,lines with a lower-case letter and a vowel before a letter,Lines with lowercase letters and vowels before letters,( ( [ <LOW> ] ) & ( [ <VOW> ] ) ) . * ( [ <LET> ] ) . *,( ( [ <LOW> ] ) & ( [ <VOW> ] ) ) . * ( [ <LET> ] ) . *,correct,小文字と文字の前に母音がある行,subset,0.7842419572336740,0.6958056075722710,0.8002474359534580,0.3333333333333330,1.0,1.0,1.0,0.0,0,correct,TRUE,Plural
51,lines consisting of the string <M0>,A line consisting of the string <M0>,. * <M0> . *,. * <M0> . *,correct,文字列<M0>で構成される行,equivalence,0.9208566108007460,0.9021475800695810,0.9783147767669740,0.06666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,
52,"lines not having the string <M0> , the string <M1> , or a character","String <M0>, string <M1>, or a line that does not contain a character",~ ( ( <M0> ) | ( <M1> ) | ( . ) ),| ( <M1> ) . *,bug,文字列<M0>、文字列<M1>、または文字を含まない行,superset,0.20856610800744900,0.6193095477993590,0.7063955049249790,0.4666666666666670,0.3571428571428570,0.0,0.17857142857142900,0.0,0,correct,TRUE,
53,"lines arranged with vowels or the string <M0> , up to 7 times in total","Lines arranged with vowels or strings <M0>, up to 7 times in total","( ( [ <VOW> ] ) + | ( <M0> ) ) { , 7 }","( ( [ <VOW> ] ) + | ( <M0> ) ) { , 7 }",correct,母音または文字列<M0>で配置された行、合計で最大7回,intersection,0.8994413407821240,0.85100559206536,0.9886810960722980,0.2,1.0,1.0,1.0,1.0,1,bug,TRUE,
54,"lines having either a lower-case letter , a vowel , or a capital letter before a character","Lines that contain either lowercase letters, vowels, or uppercase letters before the letters",( ( [ <LOW> ] ) | ( [ <VOW> ] ) | ( [ <CAP> ] ) ) . * ( . ) . *,. * ( ( [ <LET> ] ) + | ( [ <VOW> ] ) + | ( [ <LET> ] ) + ) . * ( [ <LET> ] ) + . * . *,bug,文字の前に小文字、母音、または大文字のいずれかが含まれる行,intersection,0.5251396648044700,0.4574722374842190,0.773049143706149,0.6666666666666670,0.6071428571428570,0.382678,0.49491042857142900,0.0,0,correct,TRUE,Plural
55,the line begins with a character in front of a vowel at least once,The line begins with the letter that precedes the vowel at least once,( ( . ) ( . * ) ) . * ( ( [ <VOW> ] ) + ) . *,( ( \ b ( [ <VOW> ] ) + \ b ) ( . * ) ),bug,行は、少なくとも1回は母音の前にある文字で始まります,intersection,0.599627560521416,0.5755647649242410,0.6784896933849620,0.4666666666666670,0.368421052631579,0.0001356668,0.18427835971578900,1.0,1,bug,TRUE,
56,lines arranged with a word that has the string <M0> followed by a character,Lines placed with words that follow the string <M0>,\ b <M0> . * . . * \ b,\ b ( <M0> ) & ( \ b \ b ),bug,文字列<M0>の後に文字が続く単語で配置された行,no intersection,0.35977653631284900,0.4511287332975720,0.8644415997770310,0.4666666666666670,0.2222222222222220,0.0,0.1111111111111110,0.0,0,correct,TRUE,
57,"strings not having a letter , not the string <M0> , instead of a vowel","Instead of a vowel, a string without a character, not the string <M0>",~ ( ( [ <LET> ] ) & ( <M0> ) & ( [ <VOW> ] ) ),~ ( ( [ <VOW> ] ) & ( . ) & ( [ <M0> ] ) ),correct,母音の代わりに、文字列<M0>ではなく、文字を持たない文字列,equivalence,0.0,0.6198667278128570,0.7956658674189410,0.4,0.6875,0.0,0.34375,0.0,0,correct,TRUE,
58,"lines with a vowel , 5 or greater times in front of a lower-case letter","Lines with vowels, 5 or more times before lowercase letters","( ( [ <VOW> ] ) { 5 , } ) . * ( [ <LOW> ] ) . *","( ( [ <VOW> ] ) { 5 , } ) . * ( [ <LOW> ] ) . *",correct,母音のある行、小文字の前に5回以上,error re!,0.6116925013769770,0.4871011598635750,0.713847321930032,0.5333333333333330,1.0,1.0,1.0,1.0,1,bug,TRUE,
59,rows with words that don't have a vowel at least once,Lines containing words without vowels at least once,\ b ~ ( ( [ <VOW> ] ) + ) \ b,\ b ~ ( ( [ <VOW> ] ) + ) \ b,correct,少なくとも1回は母音がない単語を含む行,error re!,0.34910930747338500,0.47976131754693400,0.632915379818582,0.5333333333333330,1.0,1.0,1.0,1.0,1,bug,TRUE,
60,lines not having a lower-case letter and not a number,Lines without lowercase letters and numbers,~ ( ( [ <LOW> ] ) & ( [ <NUM> ] ) ),~ ( ( [ <LOW> ] ) & ( [ <NUM> ] ) ),correct,小文字と数字がない行,equivalence,0.5430589227363760,0.45744980992041400,0.779780404698361,0.6666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,
61,"lines with digits , 5 or more times","Lines with numbers, 5 times or more","( [ <NUM> ] ) { 5 , }","( [ <NUM> ] ) { 5 , }",correct,数字のある行、5回以上,error re!,0.33040702314445300,0.5993785230875290,0.8543497668999060,0.13333333333333300,1.0,1.0,1.0,1.0,1,bug,TRUE,
62,lines arranged with words that have the string <M0> then the string <M1> at least once,Lines arranged with words that have the string <M0> and then the string <M1> at least once,( \ b <M0> . * <M1> . * \ b ) +,( \ b <M0> . * <M1> . * \ b ) +,correct,文字列<M0>、次に文字列<M1>を少なくとも1回持つ単語で配置された行,no intersection,0.9565487274984480,0.9478494917370700,0.990552760903047,0.2,1.0,1.0,1.0,1.0,1,bug,TRUE,
63,"lines with a character followed by a vowel , 2 or more times","Lines with letters followed by vowels, more than once","( . . * [ <VOW> ] . * ) { 2 , }","( [ <LET> ] . * [ <VOW> ] . * ) { , 2 }",bug,文字の後に母音が続く行、2回以上,intersection,0.5139664804469280,0.49831239017463300,0.35195995057284100,0.6,0.7777777777777780,0.825396,0.8015868888888890,1.0,1,bug,TRUE,Need check
64,lines starting with a capital letter or a lower-case letter before a number,Lines that start with a case before the number,( ( [ <CAP> ] ) ( . * ) ) | ( ( [ <LOW> ] ) . * ( [ <NUM> ] ) . * ),( \ b ( [ <LET> ] ) ( . * ) \ b ) . * ( [ <NUM> ] ) . *,bug,数字の前に大文字または小文字で始まる行,superset,0.3083798882681570,0.32779969871589800,0.0,0.6666666666666670,0.6363636363636360,5.6113575E-05,0.3182098749693180,0.0,0,correct,TRUE,
65,the line starts with a vowel or containing the string <M0>,The line starts with a vowel or contains the string <M0>,( ( [ <VOW> ] ) ( . * ) ) | ( . * <M0> . * ),( ( [ <VOW> ] ) ( . * ) ) | ( . * <M0> . * ),correct,行は母音で始まるか、文字列<M0>を含みます,equivalence,0.9393180504719720,0.9080249949771320,0.9856814953595740,0.0,1.0,1.0,1.0,1.0,1,bug,TRUE,
66,"lines having a vowel , characters , and a lower-case letter before the string <M0>","Lines containing vowels, characters, and lowercase letters before the string <M0>",( ( [ <VOW> ] ) & ( . ) + & ( [ <LOW> ] ) ) . * ( <M0> ) . *,( . * ( [ <VOW> ] ) + & ( . ) + & ( [ <LET> ] ) + . * ) . * ( <M0> ) . *,bug,文字列<M0>の前に母音、文字、および小文字が含まれる行,subset,0.7928873143480040,0.7305314657291270,0.9040955082019580,0.4,0.7407407407407410,0.0,0.37037037037037000,0.0,0,correct,TRUE,Plural
67,rows not having a capitalized letter at least once,Lines without at least one uppercase letter,~ ( ( [ <CAP> ] ) + ),~ ( ( [ <CAP> ] ) + ),correct,大文字の文字が少なくとも1回ない行,equivalence,0.10279329608938600,0.30488784726424400,0.7066406567790480,0.6666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,
68,"lines having either the string <M0> , a letter , or a number before a character","String <M0>, a character, or a line that contains a number before the character",( ( <M0> ) | ( [ <LET> ] ) | ( [ <NUM> ] ) ) . * ( . ) . *,( ( <M0> ) | ( . ) | ( [ <NUM> ] ) . * ) . * ( . ) . *,correct,文字列<M0>、文字、または文字の前に数字が含まれる行,subset,0.29601866911816700,0.6181051486282730,0.7735038933279930,0.4,0.8636363636363640,0.999995,0.9318156818181820,0.0,0,correct,TRUE,
69,"lines not made up of only a numeric character , 0 or more times","Lines that do not consist only of numbers, 0 or more times",~ ( ( [ <NUM> ] ) * ),~ ( ( [ <NUM> ] ) * ),correct,数字のみで構成されていない行、0回以上,subset,0.3956726079631110,0.46533843188980400,0.649134953158416,0.4666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,Ambiguity
70,lines with the string <M0> before the string <M1> and not a lower-case letter,A non-lowercase line with the string <M0> in front of the string <M1>,( ( <M0> ) . * ( <M1> ) . * ) & ( ~ ( [ <LOW> ] ) ),( ( <M0> ) . * ( <M1> ) . * ),bug,文字列<M1>の前に文字列<M0>があり、小文字ではない行,equivalence,0.16019734455488700,0.5884565020386920,0.7267749505642690,0.4666666666666670,0.631578947368421,1.0,0.8157894736842110,,0,correct,TRUE,Order
71,"lines not having the string <M0> , the string <M1> , or a vowel","String <M0>, string <M1>, or line without vowels",~ ( ( <M0> ) | ( <M1> ) | ( [ <VOW> ] ) ),<M0> | ( <M1> ) + | ~ ( [ < VOW > ] ),bug,文字列<M0>、文字列<M1>、または母音がない行,intersection,0.2732996364281290,0.4277436262938080,0.6905775818588430,0.6666666666666670,0.5,0.00013733539,0.250068667695,0.0,0,correct,TRUE,Negation
72,"strings with words that don't have numbers , 0 or greater times",A string containing words that do not have a number more than 0 times,( \ b ~ ( [ <NUM> ] ) + \ b ) *,. * \ b ~ ( [ <NUM> ] ) \ b . *,correct,数字が0回以上ない単語を含む文字列,subset,0.5065176908752340,0.4729017832115910,0.6384156735355180,0.8666666666666670,0.6,-1.0,0.3,0.0,0,correct,TRUE,
73,lines not containing only a lowercase letter and not the string <M0>,Lines that contain only lowercase letters and do not contain the string <M0>,~ ( ( [ <LOW> ] ) & ( <M0> ) ),( [ <LOW> ] ) + & ( . * <M0> . * ),bug,小文字のみを含まず、文字列<M0>を含まない行,superset,0.6728903263745960,0.6758144279291850,0.6831593370049900,0.6,0.41666666666666700,0.0188679,0.2177672833333330,0.0,0,correct,TRUE,Need check
74,"lines with the string <M0> , 6 or more times","Line of string <M0>, 6 times or more","( . * <M0> . * ) { 6 , }","( <M0> ) { 6 , }",bug,文字列<M0>の行、6回以上,subset,0.38547486033519600,0.5408933315915640,0.9210325061281700,0.2,0.5,0.0,0.25,1.0,1,bug,TRUE,
75,lines starting with the string <M0> in front of a string that is not an uppercase letter,Lines beginning with the string <M0> before the non-uppercase string,( ( <M0> ) ( . * ) ) . * ( ~ ( [ <CAP> ] ) ) . *,( ( <M0> ) ( . * ) ) . * ( ~ ( [ <CAP> ] ) ) . *,correct,大文字ではない文字列の前にある文字列<M0>で始まる行,superset,0.4584814626714070,0.44827855231253200,0.7382338214365110,0.6,1.0,1.0,1.0,1.0,1,bug,TRUE,
76,"lines with vowels before an uppercase letter , zero or more times","Lines with vowels before capital letters, 0 or more times",( [ <VOW> ] ) + . * ( ( [ <CAP> ] ) * ) . *,( [ <VOW> ] ) + . * ( ( [ <CAP> ] ) * ) . *,correct,大文字の前に母音が含まれる行、0回以上,error re!,0.7116458960034390,0.6240938121260070,0.6151387157964510,0.2,1.0,1.0,1.0,1.0,1,bug,TRUE,
77,rows not having the string <M0> or a character followed by lettered words,String <M0> or a line without a line followed by a character,( ~ ( <M0> ) ) | ( . . * [ <LET> ] . * ),( ( <M0> ) | ( [ <NUM> ] . * . . * ) ) | ( [ <NUM> ] . * . . * ),bug,文字列<M0>または文字の後に文字が続く行がない行,superset,0.2006581464758560,0.48278998516820400,0.6509839371176950,0.4666666666666670,0.4782608695652170,0.153573,0.3159169347826090,0.0,0,correct,TRUE,Order
78,"strings with a number in front of a capital letter or either a lower-case letter , the string <M0> , or the string <M1>","A string with a number in front of either uppercase or lowercase letters, the string <M0>, or the string <M1>",( ( [ <NUM> ] ) . * ( [ <CAP> ] ) . * ) | ( ( [ <LOW> ] ) | ( <M0> ) | ( <M1> ) ),( ( [ <NUM> ] ) . * ( [ <LET> ] ) . * ) . * ( ( [ <LET> ] ) + | ( <M0> ) | ( <M1> ) ) . *,bug,大文字または小文字、文字列<M0>、または文字列<M1>のいずれかの前に数字が付いた文字列,intersection,0.7255997371015450,0.7237419573369950,0.8783450990764430,0.26666666666666700,0.7666666666666670,-1.0,0.3833333333333330,1.0,1,bug,TRUE,
79,"lines having either a letter , the string <M0> , or an upper case letter in front of the string <M1>","Lines with a character, string <M0>, or string <M1> preceded by an uppercase letter",( ( [ <LET> ] ) | ( <M0> ) | ( [ <CAP> ] ) ) . * ( <M1> ) . *,( ( . ) | ( <M0> ) | ( <M1> ) ) ( . * ),bug,文字、文字列<M0>、または文字列<M1>の前に大文字がある行,subset,0.23128491620111700,0.43806229153609100,0.8771031906871750,0.7333333333333330,0.65,0.825396,0.737698,0.0,0,correct,TRUE,
80,"strings containing either the string <M0> , a vowel , or a capital letter","A string containing either the string <M0>, a vowel, or an uppercase letter",. * ( <M0> ) | ( [ <VOW> ] ) | ( [ <CAP> ] ) . *,. * ( <M0> ) | ( [ <VOW> ] ) | ( [ <CAP> ] ) . *,correct,文字列<M0>、母音、または大文字のいずれかを含む文字列,equivalence,0.805214152700187,0.7320783277698480,0.9235568139577410,0.2,1.0,1.0,1.0,1.0,1,bug,TRUE,
81,rows are not words that have starting with an uppercase letter,Lines are not words that start with a capital letter,~ ( \ b ( [ <CAP> ] ) ( . * ) \ b ),~ ( \ b ( [ <CAP> ] ) ( . * ) \ b ),correct,行は大文字で始まる単語ではありません,equivalence,0.6134438637592370,0.5444291953901410,0.8879006718891910,0.2,1.0,1.0,1.0,1.0,1,bug,TRUE,
82,"rows not having a character , not a digit , and not a vowel","Lines without letters, numbers or vowels",~ ( ( . ) & ( [ <NUM> ] ) & ( [ <VOW> ] ) ),~ ( ( [ <LET> ] ) + | ( [ <NUM> ] ) + ),bug,文字、数字、母音を含まない行,superset,0.11324685162389900,0.0,0.7256561599014610,0.8666666666666670,0.5,0.0,0.25,0.0,0,correct,TRUE,
83,lines with the string <M0> before a vowel or a numeric character,Lines that contain the string <M0> before a vowel or number,( <M0> ) . * ( ( [ <VOW> ] ) | ( [ <NUM> ] ) ) . *,( <M0> ) . * ( ( [ <VOW> ] ) | ( [ <NUM> ] ) ) . *,correct,母音または数字の前に文字列<M0>が含まれる行,intersection,0.5059357541899440,0.6306387863001970,0.9239348892505170,0.6,1.0,1.0,1.0,1.0,1,bug,TRUE,
84,lines with words that have a character or the string <M0> before the string <M1>,Lines containing a character or a word with the string <M0> before the string <M1>,\ b ( . ) | ( ( <M0> ) . * ( <M1> ) . * ) \ b,( . * . . * ) | ( ( [ <NUM> ] ) . * ( <M1> ) . * ),bug,文字列<M1>の前に文字または文字列<M0>がある単語を含む行,subset,0.5578416678021540,0.7725402513332050,0.9671158692944730,0.26666666666666700,0.65,0.0002479544,0.3251239772,0.0,0,correct,TRUE,
85,"lines ending with the string <M0> or a vowel , 4 or more times",4 or more lines ending with the string <M0> or a vowel,"( . * ) ( ( <M0> ) | ( ( [ <VOW> ] ) { 4 , } ) )","( . * ) ( ( <M0> ) | ( [ <VOW> ] ) ) { 4 , }",bug,文字列<M0>または母音で終わる行を4回以上,subset,0.44764822490538900,0.8347298527793160,0.8890472016591970,0.13333333333333300,0.8125,1.0,0.90625,0.0,0,correct,TRUE,Need check
86,strings preceded by a capitalized letter followed by a letter,A string of uppercase letters followed by letters,( [ <CAP> ] . * [ <LET> ] . * ) ( . * ),( [ <CAP> ] . * [ <LET> ] . * ) ( . * ),correct,大文字の文字の後に文字が続く文字列,subset,0.43813536038098700,0.3994270276029680,0.6360216958386830,0.13333333333333300,1.0,1.0,1.0,0.0,0,correct,TRUE,Need check
87,lines with the string <M0> at least once or containing a capital letter,"Lines that contain the string <M0> at least once, or lines that contain uppercase letters",( ( <M0> ) + ) | ( . * [ <CAP> ] . * ),( ( <M0> ) + ) | ( . * [ <CAP> ] + . * ),bug,文字列<M0>が少なくとも1回含まれている行、または大文字を含む行,intersection,0.5226288368589550,0.5173401227268460,0.8214199373718140,1.0,0.9333333333333330,1.0,0.9666666666666670,0.0,0,correct,TRUE,Need check
88,lines containing a vowel before a lower-case letter,Lines containing vowels before lowercase letters,( . * [ <VOW> ] . * ) . * ( [ <LOW> ] ) . *,( . * [ <VOW> ] . * ) . * ( [ <LOW> ] ) . *,correct,小文字の前に母音を含む行,subset,0.8263774783656490,0.7605186449462580,0.8498133777306070,0.4,1.0,1.0,1.0,0.0,0,correct,TRUE,
89,"lines composed of letters then the string <M0> , 7 or more times","Line consisting of characters, then string <M0>, 7 times or more",". * ( [ <LET> ] . * <M0> . * ) { 7 , } . *","( . * [ < M0 > ] ) { 7 , }",bug,文字で構成された行、次に文字列<M0>、7回以上,subset,0.38547486033519600,0.5111463628594920,0.8542087566024990,0.5333333333333330,0.3846153846153850,0.0,0.1923076923076920,1.0,1,bug,TRUE,
90,"lines containing a vowel or lettered words , no more than 6 times","Lines containing vowels or letter words, 6 times or less",". * ( ( [ <VOW> ] ) | ( [ <LET> ] ) + ) { , 6 } . *",". * ( ( [ <VOW> ] ) | ( [ <LET> ] ) + ) { , 6 } . *",correct,母音または文字の単語を含む行、6回以下,superset,0.5732703051138810,0.5747400483118110,0.6339773856993380,0.6666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,
91,lines arranged with an uppercase letter then a vowel before a character,Lines placed with uppercase letters and vowels before letters,( [ <CAP> ] . * [ <VOW> ] . * ) . * ( . ) . *,( ( [ <LET> ] ) & ( [ <VOW> ] ) + ) . * ( [ <LET> ] ) + . *,bug,大文字、文字の前の母音で配置された行,intersection,0.5754976788102920,0.5080077834172480,0.7643291910420890,0.6,0.5,0.0,0.25,0.0,0,correct,TRUE,Plural
92,rows preceded by a capital letter or vowels and a numeric character,Lines preceded by uppercase letters or vowels and numbers,( ( [ <CAP> ] ) ( . * ) ) | ( ( [ <VOW> ] ) + & ( [ <NUM> ] ) ),( ( [ <LET> ] ) + | ( ( [ <VOW> ] ) + & ( [ <VOW> ] ) + ) ) ( . * ),bug,大文字または母音と数字が前に付いた行,subset,0.4717752022012850,0.4732990584401820,0.7677690884239210,0.2,0.4545454545454550,0.452991,0.45376822727272700,0.0,0,correct,TRUE,
93,"lines with a word that has either a character , letters , or the string <M0>","Lines containing words that contain either a letter, a letter, or the string <M0>",\ b ( . ) | ( [ <LET> ] ) + | ( <M0> ) \ b,. * \ b . [ <LET> ] | ( [ <LET> ] ) \ b . *,bug,文字、文字、または文字列<M0>のいずれかを含む単語を含む行,intersection,0.599627560521416,0.5479337460526750,0.8598475082073620,0.5333333333333330,0.2857142857142860,0.0193195,0.15251689285714300,0.0,0,correct,TRUE,
94,lines ending with the string <M0>,Lines ending with the string <M0>,( . * ) ( <M0> ),( . * ) ( <M0> ),correct,文字列<M0>で終わる行,equivalence,0.988996106314543,0.9886314504546920,1.0,0.0,1.0,1.0,1.0,1.0,1,bug,TRUE,
95,"lines arranged with a number or a lower-case letter , up to 3 times in total","Lines arranged in numbers or lowercase, up to 3 times in total","( ( [ <NUM> ] ) | ( [ <LOW> ] ) ) { , 3 }","( ( [ <NUM> ] ) | ( [ <LOW> ] ) ) { , 3 }",correct,数字または小文字で配置された行、合計で最大3回,subset,0.7236107027344900,0.6181331285750510,0.8470279976446290,0.3333333333333330,1.0,1.0,1.0,1.0,1,bug,TRUE,
96,"lines with a word that has a lower-case letter or an upper case letter , 3 or greater times",Lines containing three or more lowercase or uppercase words,"\ b ( ( [ <LOW> ] ) | ( [ <CAP> ] ) ) { 3 , } \ b",( . * [ <LET> ] . * ) | ( ( [ <LET> ] ) | ( [ <CAP> ] ) ),bug,小文字または大文字の単語が3回以上含まれている行,subset,0.2230953404137770,0.21281435066039700,0.7143361163351010,0.9333333333333330,0.3529411764705880,0.00010292301000000000,0.1765220497402940,0.0,0,correct,TRUE,Need check
97,lines with the string <M0> before a vowel at least one time,Lines that contain the string <M0> at least once before the vowel,( <M0> ) . * ( ( [ <VOW> ] ) + ) . *,( . * ( <M0> ) + . * ) . * ( [ <VOW> ] ) . *,bug,母音の前に少なくとも1回は文字列<M0>が含まれる行,subset,0.2767511817791150,0.6273737472740310,0.886421151471586,0.9333333333333330,0.47058823529411800,0.0,0.23529411764705900,1.0,1,bug,TRUE,
98,lines ending with the string <M0> at least once in front of vowels,Lines ending with the string <M0> at least once before the vowel,( ( . * ) ( ( <M0> ) + ) ) . * ( [ <VOW> ] ) + . *,( ( . * ) ( ( <M0> ) + ) ) . * ( [ <VOW> ] ) + . *,correct,母音の前に少なくとも1回は文字列<M0>で終わる行,equivalence,0.8137802607076350,0.773716248021684,0.8738866109317040,0.2,1.0,1.0,1.0,1.0,1,bug,TRUE,
99,"lines ending with a character followed by the string <M0> , 4 or greater times","Lines ending with a character, followed by the string <M0>, 4 or more times","( ( . * ) ( . . * <M0> . * ) ) { 4 , }","( ( . * ) ( . . * <M0> . * ) ) { 4 , }",correct,文字で終わり、その後に文字列<M0>が続く行、4回以上,equivalence,0.879673399226473,0.8204207751425430,0.8879704875369240,0.06666666666666670,1.0,1.0,1.0,1.0,1,bug,TRUE,